Group Core Meaning,Word,Sense,Meaning,Source,,,,
DIVERT / TURN ASIDE,divert,,turn aside; turn away from,XLSX,,,,
DIVERT / TURN ASIDE,redirect,,channel into a new direction,XLSX,,,,
DIVISION / SPLIT,dichotomous,,divided or dividing into two sharply distinguished parts or classifications,XLSX,,,,
DIVISION / SPLIT,dichotomy,,"(noun, N) a clean two-way + division / split",PDF,,,,
DIVISION / SPLIT,fissure,,a long narrow depression in a surface,XLSX,,,,
DIVISION / SPLIT,polarize,,"(verb, -ve) split into opposing camps + conflict / discord",BOTH,,,,
DIVISION / SPLIT,separation,,the state of lacking unity,XLSX,,,,
DIVISION / SPLIT,split,,extending the legs at right angles to the trunk (one in front and the other in back),XLSX,,,,
DOUBT / SKEPTICISM,implausibility,,the quality of provoking disbelief,XLSX,,,,
DOUBT / SKEPTICISM,implausible,,having a quality that provokes disbelief,XLSX,,,,
DOUBT / SKEPTICISM,query,,an instance of questioning,XLSX,,,,
DOUBT / SKEPTICISM,quizzical,,playfully vexing (especially by ridicule); - Lawrence Durrell,XLSX,,,,
DOUBT / SKEPTICISM,suspect,,"(verb/noun/adj, -ve) doubt, distrust | questionable (adj)",BOTH,,,,
DRAW OUT / EVOKE,conjure,,"summon into action or bring into existence, often as if by magic",XLSX,,,,
DRAW OUT / EVOKE,elicit,,"(verb, N) coax out (a response) + draw out / evoke",BOTH,,,,
DRAW OUT / EVOKE,elicitation,,stimulation that calls up (draws forth) a particular class of behaviors,GREG_MAT,,,,
DRAW OUT / EVOKE,evocative,,serving to bring to mind; - Wilder Hobson,XLSX,,,,
DRAW OUT / EVOKE,evoke,,"(verb, N) summon feelings/memories + draw out / evoke",BOTH,,,,
DRAW OUT / EVOKE,redolent,,serving to bring to mind; - Wilder Hobson,XLSX,,,,
DULL / BLAND,anodyne,,a medicine used to relieve pain,XLSX,,,,
DULL / BLAND,dull,,make dull in appearance,XLSX,,,,
DULL / BLAND,insipid,,"(adj, -ve) flavorlessly + dull / bland",BOTH,,,,
DULL / BLAND,vapid,,"(adj, -ve) emptily + dull / bland",BOTH,,,,
DULL / BLAND,vapidity,,the quality of being vapid and unsophisticated,GREG_MAT,,,,
DULL / BLAND,wan,,a computer network that spans a wider area than does a local area network,XLSX,,,,
EAGERNESS / ZEAL,alacrity,,"(noun, +ve) cheerful eagerness (noun) + passionate / eager",BOTH,,,,
EAGERNESS / ZEAL,fanatical,,marked by excessive enthusiasm for and intense devotion to a cause or idea,XLSX,,,,
EFFECTIVE / POWERFUL,effective,,producing or capable of producing an intended result or having a striking effect; -LewisMumford,XLSX,,,,
EFFECTIVE / POWERFUL,effectuality,,power to be effective; the quality of being able to bring about an effect,XLSX,,,,
EFFECTIVE / POWERFUL,efficacious,,"(adj, +ve) provenly + effective / powerful",BOTH,,,,
EFFECTIVE / POWERFUL,efficacy,,capacity or power to produce a desired effect,XLSX,,,,
EFFICIENT / CAPABLE,effectively,,in an effective manner,XLSX,,,,
EFFICIENT / CAPABLE,efficiency,,the ratio of the output to the input of any system,XLSX,,,,
EFFICIENT / CAPABLE,efficient,,being effective without wasting time or effort or expense,XLSX,,,,
EFFICIENT / CAPABLE,efficiently,,with efficiency; in an efficient manner,XLSX,,,,
ELABORATE / EXPAND,belabor,,to work at or to absurd length,XLSX,,,,
ELABORATE / EXPAND,elaborate,,"(verb/adj, N) expand in detail + elaborate / expand | also: detailed (adj)",BOTH,,,,
ELABORATE / EXPAND,expatiate,,"(verb, N) at great, windy length + elaborate / expand",PDF,,,,
ELITE / DISTINGUISHED,dominance,,superior development of one side of the body,XLSX,,,,
ELITE / DISTINGUISHED,dominant,,(music) the fifth note of the diatonic scale,XLSX,,,,
ELITE / DISTINGUISHED,elitism,,the attitude that society should be governed by an elite group of individuals,GREG_MAT,,,,
ELITE / DISTINGUISHED,illustrious,,widely known and esteemed,XLSX,,,,
ELITE / DISTINGUISHED,luminary,,a celebrity who is an inspiration to others,XLSX,,,,
ELITE / DISTINGUISHED,predominant,,most frequent or common,XLSX,,,,
ELITE / DISTINGUISHED,prestigious,,having an illustrious reputation; respected,XLSX,,,,
ELITE / DISTINGUISHED,renowned,,widely known and esteemed,XLSX,,,,
ELITE / DISTINGUISHED,reputation,,the state of being held in high esteem and honor,XLSX,,,,
ELITE / DISTINGUISHED,superiority,,the quality of being superior,XLSX,,,,
ELITE / DISTINGUISHED,supremacy,,power to dominate or defeat,XLSX,,,,
ELOQUENT / EXPRESSIVE,articulate,,"(verb/adj, +ve) clearly + eloquent / expressive",BOTH,,,,
ELOQUENT / EXPRESSIVE,eloquence,,powerful and effective language,XLSX,,,,
ELOQUENT / EXPRESSIVE,eloquent,,"(adj, +ve) movingly + eloquent / expressive",BOTH,,,,
ELOQUENT / EXPRESSIVE,expressive,,characterized by expression,XLSX,,,,
ELOQUENT / EXPRESSIVE,fluency,,powerful and effective language,XLSX,,,,
EMOTIONAL / SENTIMENTAL,emotional,,determined or actuated by emotion rather than reason,XLSX,,,,
EMOTIONAL / SENTIMENTAL,emotiveness,,emotional; sentimental,XLSX,,,,
EMOTIONAL / SENTIMENTAL,maudlin,,effusively or insincerely emotional,XLSX,,,,
EMOTIONAL / SENTIMENTAL,mawkish,,"(adj, -ve) sickeningly + sentimental",BOTH,,,,
EMOTIONAL / SENTIMENTAL,mawkishness,,insincere pathos,XLSX,,,,
EMOTIONAL / SENTIMENTAL,nostalgia,,longing for something past,XLSX,,,,
EMOTIONAL / SENTIMENTAL,poignant,,"(adj, +ve) touchingly moving",BOTH,,,,
EMOTIONAL / SENTIMENTAL,sentiment,,"tender, romantic, or nostalgic feeling or emotion",GREG_MAT,,,,
EMOTIONAL / SENTIMENTAL,sentimental,,"(adj, N) nostalgically emotional + sentimental",PDF,,,,
EMOTIONAL / SENTIMENTAL,wistful,,"(adj, N) yearningly melancholy",BOTH,,,,
EMPHASIZE,accentuate,,"(verb, N) highlight + emphasize",BOTH,,,,
EMPHASIZE,foreground,,the part of a scene that is near the viewer,XLSX,,,,
EMPHASIZE,highlight,,the most interesting or memorable part,XLSX,,,,
EMPHASIZE,underscore,,"(verb, N) stress, underline + emphasize",BOTH,,,,
ENDLESS,eternal,,continuing forever or indefinitely,XLSX,,,,
ENDLESS,interminable,,"(adj, -ve) tediously + endless",BOTH,,,,
ENDLESS,unrelenting,,not to be placated or appeased or moved by entreaty,XLSX,,,,
ENDURING / TIMELESS,endurance,,the power to withstand hardship or stress,XLSX,,,,
ENDURING / TIMELESS,eternality,,enduring; timeless,XLSX,,,,
ENDURING / TIMELESS,immortality,,the quality or state of being immortal,XLSX,,,,
ENDURING / TIMELESS,immutability,,the quality of being incapable of mutation,XLSX,,,,
ENDURING / TIMELESS,immutable,,"(adj, N) unchangeably fixed + lasting",BOTH,,,,
ENDURING / TIMELESS,invariability,,a quality of uniformity and lack of variation,XLSX,,,,
ENDURING / TIMELESS,stability,,the quality or attribute of being firm and steadfast,XLSX,,,,
ENDURING / TIMELESS,stabilization,,the act of stabilizing something or making it more stable,XLSX,,,,
ENDURING / TIMELESS,steady,,a person loved by another person,XLSX,,,,
ENDURING / TIMELESS,timelessness,,a state of eternal existence believed in some religions to characterize the afterlife,XLSX,,,,
ENERGETIC / KINETIC,kinetic,,relating to the motion of material bodies and the forces associated therewith,XLSX,,,,
ENERGETIC / KINETIC,lively,,full of life and energy,XLSX,,,,
ENERGIZE,animate,,heighten or intensify,XLSX,,,,
ENERGIZE,embolden,,give encouragement to,XLSX,,,,
ENERGIZE,energize,,cause to be alert and energetic,XLSX,,,,
ENERGIZE,enliven,,heighten or intensify,XLSX,,,,
ENERGIZE,galvanize,,"(verb, +ve) electrify into action + provoke / stir up",BOTH,,,,
ENERGIZE,invigorate,,"(verb, +ve) refresh + energize",BOTH,,,,
ENERGIZE,revitalize,,restore strength,XLSX,,,,
ENERGIZE,stimulant,,any stimulating information or event; acts to arouse action,XLSX,,,,
ENERGIZE,stimulate,,act as a stimulant,XLSX,,,,
ENERGY / LIVELINESS,desiccate,,"(verb, -ve) dry out completely; drain of vitality",PDF,,,,
ENERGY / LIVELINESS,energy,,(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs,XLSX,,,,
ENERGY / LIVELINESS,exuberance,,joyful enthusiasm,XLSX,,,,
ENERGY / LIVELINESS,scintillate,,give off,GREG_MAT,,,,
ENERGY / LIVELINESS,verve,,"(noun, +ve) enthusiastic flair + energy / liveliness",PDF,,,,
ENERGY / LIVELINESS,vibrant,,vigorous and animated,XLSX,,,,
ENERGY / LIVELINESS,vigor,,forceful exertion,GREG_MAT,,,,
ENERGY / LIVELINESS,vitality,,"(noun, +ve) life-force + energy / liveliness",BOTH,,,,
ENERGY / LIVELINESS,vivacity,,characterized by high spirits and animation,XLSX,,,,
ENERGY / LIVELINESS,youthfulness,,the freshness and vitality characteristic of a young person,XLSX,,,,
ENORMOUS / REMARKABLE,gargantuan,,of great mass; huge and bulky,XLSX,,,,
ENORMOUS / REMARKABLE,gigantic,,so exceedingly large or extensive as to suggest a giant or mammoth,XLSX,,,,
ENORMOUS / REMARKABLE,massive,,imposing in size or bulk or solidity,XLSX,,,,
ENORMOUS / REMARKABLE,monstrous,,abnormally large,XLSX,,,,
ENORMOUS / REMARKABLE,prodigious,,"(adj, +ve) impressively + enormous / remarkable",BOTH,,,,
ENORMOUS / REMARKABLE,remarkable,,"(adj, +ve) notably extraordinary + enormous / remarkable",BOTH,,,,
EQUIVALENT,analogous,,"(adj, N) comparable, similar in function",BOTH,,,,
EQUIVALENT,commensurate,,"(adj, N) proportionately + equivalent",PDF,,,,
EQUIVALENT,comparable,,able to be compared or worthy of comparison,XLSX,,,,
EQUIVALENT,equivalent,,a person or thing equal to another in value or measure or force or effect or significance etc,XLSX,,,,
EQUIVALENT,interchangeable,,"(adj, N) swappably + equivalent",BOTH,,,,
EQUIVALENT,parity,,(obstetrics) the number of liveborn children a woman has delivered,XLSX,,,,
EQUIVALENT,synonymous,,(of words) meaning the same or nearly the same,XLSX,,,,
EQUIVALENT,tantamount,,"(adj, N) effectively (often to something bad) + equivalent",BOTH,,,,
ESSENTIAL,crucial,,of extreme importance; vital to the resolution of a crisis,XLSX,,,,
ESSENTIAL,essential,,anything indispensable,XLSX,,,,
ESSENTIAL,imperative,,"(adj/noun, N) urgently required + essential",BOTH,,,,
ESSENTIAL,indispensable,,"(adj, +ve) absolutely necessary + essential",BOTH,,,,
ESSENTIAL,integral,,the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x),XLSX,,,,
ESSENTIAL,necessary,,anything indispensable,XLSX,,,,
ESSENTIAL,necessitate,,"require as useful, just, or proper",XLSX,,,,
ESSENTIAL,quintessential,,representing the perfect example of a class or quality,XLSX,,,,
ESSENTIAL,requisite,,anything indispensable,XLSX,,,,
ESSENTIAL,vital,,urgently needed; absolutely necessary,XLSX,,,,
EVASIVE,ambiguity,,an expression whose meaning cannot be determined from its context,XLSX,,,,
EVASIVE,ambiguous,,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,XLSX,,,,
EVASIVE,cagey,,showing self-interest and shrewdness in dealing with others,XLSX,,,,
EVASIVE,dissemble,,"(verb, -ve) hide true feelings (verb) + evasive",PDF,,,,
EVASIVE,elusive,,"(adj, N) hard to pin down + evasive",BOTH,,,,
EVASIVE,equivocal,,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,XLSX,,,,
EVASIVE,equivocate,,"(verb, -ve) speak deliberately ambiguously (verb) + evasive",PDF,,,,
EVASIVE,equivocation,,a statement that is not literally false but that cleverly avoids an unpleasant truth,XLSX,,,,
EVASIVE,evasion,,a statement that is not literally false but that cleverly avoids an unpleasant truth,GREG_MAT,,,,
EVASIVE,evasive,,"(adj, -ve) dodgingly + evasive",BOTH,,,,
EVASIVE,furtively,,in a furtive manner,XLSX,,,,
EVASIVE,hedge,,a fence formed by a row of closely planted shrubs or bushes,XLSX,,,,
EVASIVE,prevaricate,,"(verb, -ve) lie by dodging (verb) + evasive",PDF,,,,
EVASIVE,slippery,,causing or tending to cause things to slip or slide,XLSX,,,,
EXAGGERATE,caricature,,"(noun/verb, -ve) a distorted, mocking portrayal (noun) + exaggerate",PDF,,,,
EXAGGERATE,embellish,,"(verb, N) decorate with extras + exaggerate",BOTH,,,,
EXAGGERATE,exaggerate,,to enlarge beyond bounds or the truth,XLSX,,,,
EXAGGERATE,exaggeration,,extravagant exaggeration,XLSX,,,,
EXAGGERATE,hyperbole,,"(noun, N) deliberate overstatement (noun) + exaggerate",BOTH,,,,
EXAGGERATE,hyperbolic,,enlarged beyond truth or reasonableness,XLSX,,,,
EXAGGERATE,inflate,,exaggerate or make bigger,XLSX,,,,
EXAGGERATE,overblown,,puffed up with vanity; ; ; ; - Newsweek,XLSX,,,,
EXAGGERATE,overclaiming,,exaggerate,XLSX,,,,
EXAGGERATE,overrate,,make too high an estimate of,XLSX,,,,
EXAGGERATE,overstate,,to enlarge beyond bounds or the truth,XLSX,,,,
EXPAND / GROW,broaden,,make broader,XLSX,,,,
EXPAND / GROW,burgeon,,"(verb, +ve) flourish rapidly + expand / grow",BOTH,,,,
EXPAND / GROW,distend,,"(verb, -ve) swell abnormally + expand / grow",BOTH,,,,
EXPAND / GROW,expand,,extend in one or more directions,XLSX,,,,
EXPAND / GROW,expansion,,the act of increasing (something) in size or volume or quantity or scope,XLSX,,,,
EXPAND / GROW,grow,,"pass into a condition gradually, take on a specific property or attribute; become",XLSX,,,,
EXPEL / REMOVE,banish,,"(verb, -ve) exile away + expel / remove",PDF,,,,
EXPEL / REMOVE,banishment,,the state of being banished or ostracized (excluded from society by general consent),GREG_MAT,,,,
EXPEL / REMOVE,expatriate,,a person who is voluntarily absent from home or country,XLSX,,,,
EXPEL / REMOVE,expel,,force to leave or move out,XLSX,,,,
EXPEL / REMOVE,relegate,,"(verb, -ve) demote downward + expel / remove",PDF,,,,
EXPOSE / REVEAL,elucidation,,an act of explaining that serves to clear up and cast light on,XLSX,,,,
EXPOSE / REVEAL,exposure,,vulnerability to the elements; to the action of heat or cold or wind or rain;  or,XLSX,,,,
EXPOSE / REVEAL,publicize,,make public,XLSX,,,,
FAIR / UNBIASED,disinterested,,"(adj, +ve) impartially (NOT bored) + fair / unbiased",BOTH,,,,
FAIR / UNBIASED,dispassionate,,unaffected by strong emotion or prejudice,XLSX,,,,
FAIR / UNBIASED,equitable,,"(adj, +ve) justly + fair / unbiased",BOTH,,,,
FAIR / UNBIASED,evenhanded,,without partiality,XLSX,,,,
FAIR / UNBIASED,evenhandedness,,fair; unbiased,XLSX,,,,
FAIR / UNBIASED,fairness,,conformity with rules or standards,XLSX,,,,
FAIR / UNBIASED,impartial,,showing lack of favoritism,XLSX,,,,
FAIR / UNBIASED,impartiality,,an inclination to weigh both views or opinions equally,XLSX,,,,
FAIR / UNBIASED,neutrality,,nonparticipation in a dispute or war,XLSX,,,,
FAIR / UNBIASED,objective,,the goal intended to be attained (and which is believed to be attainable),XLSX,,,,
FAIR / UNBIASED,objectivity,,judgment based on observable phenomena and uninfluenced by emotions or personal prejudices,XLSX,,,,
FAKE,apocryphal,,being of questionable authenticity,XLSX,,,,
FAKE,bogus,,"(adj, -ve) counterfeit + fake",PDF,,,,
FAKE,counterfeit,,"(noun/adj/verb, -ve) forged, imitation + fake",BOTH,,,,
FAKE,fake,,something that is a counterfeit; not what it seems to be,XLSX,,,,
FAKE,phony,,"(adj/noun, -ve) fraudulently + fake",PDF,,,,
FAKE,sham,,"(noun/adj, -ve) a pretend, fraud + fake",BOTH,,,,
FAKE,specious,,"(adj, -ve) deceptively plausible-looking + fake",BOTH,,,,
FAKE,spurious,,"(adj, -ve) falsely presented as real + fake",BOTH,,,,
FAKE BEHAVIOR,affectation,,"(noun, -ve) put-on mannerisms (noun) + fake behavior",PDF,,,,
FAKE BEHAVIOR,artificial,,contrived by art rather than nature,XLSX,,,,
FAKE BEHAVIOR,hypocrisy,,an expression of agreement that is not supported by real conviction,XLSX,,,,
FAKE BEHAVIOR,hypocrite,,"(noun, -ve) one who preaches what they don't practice",PDF,,,,
FAKE BEHAVIOR,hypocritic,,fake behavior,XLSX,,,,
FAKE BEHAVIOR,posturing,,"(noun/verb, -ve) pretentious posing (noun) + fake behavior",PDF,,,,
FAKE BEHAVIOR,pretentious,,"(adj, -ve) pretending importance + showy / ornate",BOTH,,,,
FAKE BEHAVIOR,sanctimonious,,"(adj, -ve) hypocritically self-righteous",BOTH,,,,
FAKE BEHAVIOR,sanctimony,,the quality of being hypocritically devout,XLSX,,,,
FAREWELL,valediction,,a farewell oration (especially one delivered during graduation exercises by an outstanding member of a graduating class),XLSX,,,,
FAREWELL,valedictory,,"(adj/noun, N) a farewell (address)",BOTH,,,,
FASHIONABLE,chic,,elegance by virtue of being fashionable,XLSX,,,,
FASHIONABLE,modish,,"(adj, N) stylishly (can imply faddish) + fashionable",PDF,,,,
FASHIONABLE,trendy,,in accord with the latest fad,XLSX,,,,
FAVORABLE,auspice,,a favorable omen,GREG_MAT,,,,
FAVORABLE,auspicious,,"(adj, +ve) promisingly (good omens) + favorable",BOTH,,,,
FAVORABLE,conducive,,"(adj, +ve) helpfully leading to + favorable",BOTH,,,,
FAVORABLE,favorable,,encouraging or approving or pleasing,XLSX,,,,
FAVORABLE,opportune,,suitable or at a time that is suitable or advantageous especially for a particular purpose,XLSX,,,,
FAVORABLE,propitious,,"(adj, +ve) luckily well-timed + favorable",BOTH,,,,
FEASIBLE / WORKABLE,feasible,,"(adj, +ve) doably + feasible / workable",BOTH,,,,
FEASIBLE / WORKABLE,viability,,(of living things) capable of normal growth and development,GREG_MAT,,,,
FEASIBLE / WORKABLE,viable,,"(adj, +ve) sustainably + feasible / workable",BOTH,,,,
FERTILE / PRODUCTIVE,fecund,,"(adj, +ve) abundantly + fertile / productive",PDF,,,,
FERTILE / PRODUCTIVE,fecundity,,the intellectual productivity of a creative imagination,XLSX,,,,
FERTILE / PRODUCTIVE,fertility,,the ratio of live births in an area to the population of that area; expressed per 1000 population per year,XLSX,,,,
FERTILE / PRODUCTIVE,fruitful,,"(adj, +ve) rewardingly + fertile / productive",BOTH,,,,
FERTILE / PRODUCTIVE,fruitfulness,,the quality of something that causes or assists healthy growth,XLSX,,,,
FERTILE / PRODUCTIVE,generative,,having the ability to produce or originate,XLSX,,,,
FERTILE / PRODUCTIVE,lucrative,,"(adj, +ve) profitably + fertile / productive",BOTH,,,,
FERTILE / PRODUCTIVE,productive,,producing or capable of producing (especially abundantly),XLSX,,,,
FERTILE / PRODUCTIVE,productivity,,the quality of being productive or having the power to produce,XLSX,,,,
FERTILE / PRODUCTIVE,prolific,,intellectually productive,XLSX,,,,
FIGURE OUT,ascertain,,"(verb, N) for certain + figure out",BOTH,,,,
FIGURE OUT,calculate,,make a mathematical calculation or computation,XLSX,,,,
FIGURE OUT,comprehend,,get the meaning of something,XLSX,,,,
FIGURE OUT,determine,,"establish after a calculation, investigation, experiment, survey, or study",XLSX,,,,
FIGURE OUT,discern,,detect with the senses,XLSX,,,,
FIGURE OUT,fathom,,"(verb/noun, N) the depths of, comprehendingly + figure out",BOTH,,,,
FIGURE OUT,glean,,"gather, as of natural products",XLSX,,,,
FLAGRANTLY BAD,egregious,,"(adj, -ve) outrageously + flagrantly bad",BOTH,,,,
FLAGRANTLY BAD,flagrant,,"(adj, -ve) blatantly + flagrantly bad",PDF,,,,
FLEXIBLE / ADAPTABLE,adapt,,"make fit for, or change to suit a new purpose",XLSX,,,,
FLEXIBLE / ADAPTABLE,adaptable,,capable of adapting (of becoming or being made suitable) to a particular situation or use,XLSX,,,,
FLEXIBLE / ADAPTABLE,adaptive,,having a capacity for adaptation,XLSX,,,,
FLEXIBLE / ADAPTABLE,fluidity,,the property of flowing easily,XLSX,,,,
FLEXIBLE / ADAPTABLE,fungible,,"(adj, N) unit-for-unit replaceable + equivalent",BOTH,,,,
FLEXIBLE / ADAPTABLE,malleable,,"(adj, N) easily shaped/influenced + yielding / flexible",BOTH,,,,
FLEXIBLE / ADAPTABLE,plastic,,"(adj, N) moldable + flexible / adaptable",BOTH,,,,
FLEXIBLE / ADAPTABLE,plasticity,,the property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking,XLSX,,,,
FLEXIBLE / ADAPTABLE,pliable,,susceptible to being led or directed,XLSX,,,,
FLEXIBLE / ADAPTABLE,protean,,taking on different forms,XLSX,,,,
FLEXIBLE / ADAPTABLE,suppleness,,the gracefulness of a person or animal that is flexible and supple,XLSX,,,,
FLEXIBLE / ADAPTABLE,versatile,,"(adj, +ve) multi-skilled + flexible / adaptable",BOTH,,,,
FOLLOWER,acolyte,,"(noun, N) a devoted assistant + follower",PDF,,,,
FOLLOWER,adherent,,someone who believes and helps to spread the doctrine of another,XLSX,,,,
FOLLOWER,apologist,,"(noun, N) a defender who argues for a cause",BOTH,,,,
FOLLOWER,disciple,,"(noun, N) a faithful adherent + follower",PDF,,,,
FOLLOWER,enthusiast,,an ardent and enthusiastic supporter of some person or activity,XLSX,,,,
FOLLOWER,evangelist,,a preacher of the Christian gospel,XLSX,,,,
FOLLOWER,proponent,,a person who pleads for a cause or propounds an idea,XLSX,,,,
FOLLOWER,proselytizer,,follower,XLSX,,,,
FORBID / PROHIBIT,bar,,a room or establishment where alcoholic drinks are served over a counter,XLSX,,,,
FORBID / PROHIBIT,censorship,,counterintelligence achieved by banning or deleting any information of value to the enemy,XLSX,,,,
FORBID / PROHIBIT,embargo,,a government order imposing a trade barrier,XLSX,,,,
FORBID / PROHIBIT,forbid,,command against,XLSX,,,,
FORBID / PROHIBIT,proscription,,a decree that prohibits something,XLSX,,,,
FORBID / PROHIBIT,proscriptive,,forbid; prohibit,XLSX,,,,
FORCED COMPULSION,coerce,,"to cause to do through pressure or necessity, by physical, moral or intellectual means :",GREG_MAT,,,,
FORCED COMPULSION,coercion,,"(noun, -ve) threat-based + forced compulsion",PDF,,,,
FORCED COMPULSION,compel,,force somebody to do something,XLSX,,,,
FORCED COMPULSION,compulsory,,required by rule,XLSX,,,,
FORCED COMPULSION,duress,,"(noun, -ve) under-pressure + forced compulsion",PDF,,,,
FORESEEING / PROPHETIC,ominous,,"(adj, -ve) threateningly foreboding + foreseeing / prophetic",PDF,,,,
FORESEEING / PROPHETIC,oracular,,of or relating to an oracle,XLSX,,,,
FORESEEING / PROPHETIC,prescience,,the power to foresee the future,XLSX,,,,
FORESEEING / PROPHETIC,prescient,,"(adj, +ve) impressively + foreseeing / prophetic",BOTH,,,,
FORESEEING / PROPHETIC,prophetic,,"(adj, N) predictively + foreseeing / prophetic",BOTH,,,,
FORESEEING / PROPHETIC,visionary,,"(noun/adj, +ve) an idealistic, forward-seeing dreamer",BOTH,,,,
FORETELL / FORESHADOW,betoken,,be a signal for or a symptom of,XLSX,,,,
FORETELL / FORESHADOW,forebode,,"(verb, -ve) darkly + foretell / foreshadow",PDF,,,,
FORETELL / FORESHADOW,foreordain,,foreordain by divine will or decree,XLSX,,,,
FORETELL / FORESHADOW,foretell,,foreshadow or presage,XLSX,,,,
FORETELL / FORESHADOW,harbinger,,"(noun, N) a forerunner-omen (noun) + foretell / foreshadow",BOTH,,,,
FORETELL / FORESHADOW,portend,,"(verb, -ve) ominously (usually bad things) + foretell / foreshadow",BOTH,,,,
FORETELL / FORESHADOW,predetermine,,determine beforehand,XLSX,,,,
FORETELL / FORESHADOW,predict,,make a prediction about; tell in advance,XLSX,,,,
FORETELL / FORESHADOW,predictor,,someone who makes predictions of the future (usually on the basis of special knowledge),XLSX,,,,
FORETELL / FORESHADOW,prefigure,,"(verb, N) in an earlier form + foretell / foreshadow",BOTH,,,,
FORETELL / FORESHADOW,preordain,,foreordain or determine beforehand,XLSX,,,,
FORETELL / FORESHADOW,presage,,"(verb/noun, N) be a sign of + foretell / foreshadow",BOTH,,,,
FORETELL / FORESHADOW,prognosis,,a prediction about how something (as the weather) will develop,XLSX,,,,
FORMER,antecedent,,someone from whom you are descended (but usually more remote than a grandparent),XLSX,,,,
FORMER,erstwhile,,"(adj, N) once-upon-a-time + former",PDF,,,,
FORMER,onetime,,"(adj, N) previously + former",PDF,,,,
FORMIDABLE,daunting,,"(adj, -ve) discouragingly intimidating + formidable",PDF,,,,
FORMIDABLE,formidable,,extremely impressive in strength or excellence,XLSX,,,,
FORMIDABLE,redoubtable,,"(adj, +ve) respect-commandingly + formidable",PDF,,,,
FRANK,blunt,,make less intense,XLSX,,,,
FRANK,candid,,"(adj, +ve) refreshingly frank + honest",BOTH,,,,
FRANK,candor,,ability to make judgments free from discrimination or dishonesty,GREG_MAT,,,,
FRANK,direct,,command with authority,XLSX,,,,
FRANK,frank,,"(adj/verb, +ve) directly, openly + honest",BOTH,,,,
FRANK,frankness,,the quality of being honest and straightforward in attitude and speech,XLSX,,,,
FRIENDLY,affable,,diffusing warmth and friendliness,XLSX,,,,
FRIENDLY,amicable,,"(adj, +ve) peaceably (settlements, splits) + friendly",PDF,,,,
FRIENDLY,camaraderie,,the quality of affording easy familiarity and sociability,XLSX,,,,
FRIENDLY,collegial,,characterized by or having authority vested equally among colleagues; ; - Merle Fainsod,XLSX,,,,
FRIENDLY,collegiality,,friendly,XLSX,,,,
FRIENDLY,congenial,,"(adj, +ve) agreeably compatible + friendly",PDF,,,,
FRIENDLY,cordial,,"(adj, +ve) warmly + friendly",BOTH,,,,
FRIENDLY,cordiality,,a cordial disposition,XLSX,,,,
FRIENDLY,friendly,,troops belonging to or allied with your own military forces,XLSX,,,,
FRIENDLY,warmhearted,,marked by warmth of feeling like kindness and sympathy and generosity,XLSX,,,,
FUTILE / INEFFECTUAL,bootless,,unproductive of success,XLSX,,,,
FUTILE / INEFFECTUAL,feckless,,"(adj, -ve) irresponsibly ineffective + clumsy / inept",BOTH,,,,
FUTILE / INEFFECTUAL,fecklessness,,worthlessness due to being feeble and ineffectual,GREG_MAT,,,,
FUTILE / INEFFECTUAL,futile,,"(adj, -ve) uselessly pointless",BOTH,,,,
FUTILE / INEFFECTUAL,futility,,uselessness as a consequence of having no practical result,XLSX,,,,
FUTILE / INEFFECTUAL,ineffectual,,not producing an intended effect,XLSX,,,,
FUTILE / INEFFECTUAL,pointlessness,,total lack of meaning or ideas,XLSX,,,,
FUTILE / INEFFECTUAL,vacuous,,"(adj, -ve) emptily mindless",BOTH,,,,
GENEROUS,beneficent,,"(adj, +ve) charitably kind + generous",PDF,,,,
GENEROUS,generosity,,the trait of being willing to give your money or time,XLSX,,,,
GENEROUS,largesse,,"(noun, +ve) generous giving (noun) + generous",BOTH,,,,
GENEROUS,magnanimous,,"(adj, +ve) nobly, forgivingly + generous",PDF,,,,
GENEROUS,munificence,,liberality in bestowing gifts; extremely liberal and generous of spirit,GREG_MAT,,,,
GENEROUS,munificent,,"(adj, +ve) lavishly + generous",BOTH,,,,
GIVE / ENDOW,boon,,"(noun, +ve) a blessing, benefit (noun) + beneficial / harmless",BOTH,,,,
GIVE / ENDOW,endow,,"(verb, +ve) fund generously | bestow (a quality)",PDF,,,,
GIVE / ENDOW,endowment,,natural abilities or qualities,XLSX,,,,
GIVE / ENDOW,gratify,,"(verb, +ve) please, satisfy",BOTH,,,,
GIVE UP / SURRENDER,abandon,,the trait of lacking restraint or control; reckless freedom from inhibition or worry,XLSX,,,,
GIVE UP / SURRENDER,capitulate,,"(verb, -ve) cave in, surrender + give up / surrender",PDF,,,,
GIVE UP / SURRENDER,cede,,give over; surrender or relinquish to the physical control of another,XLSX,,,,
GIVE UP / SURRENDER,forgo,,"(verb, N) voluntarily do without + give up / surrender",BOTH,,,,
GIVE UP / SURRENDER,forsake,,"(verb, -ve) abandon, desert + give up / surrender",BOTH,,,,
